,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28677,28677,1395,2,144,1,1,1,0,اوین,87152000.0,5.0
28678,28678,1400,3,140,1,1,1,0,تهرانپارس غربی,85000000.0,3.0
28679,28679,1396,2,153,1,1,1,0,دروس,112679000.0,5.0
28680,28680,1395,2,99,1,1,1,0,پاتریس لومومبا,63636000.0,3.0
28681,28681,1383,2,95,1,1,1,0,شهرک غرب,90000000.0,2.0
28682,28682,1401,2,107,1,1,1,0,دریاچه شهدای خلیج فارس,40654000.0,3.0
28683,28683,1401,2,115,1,1,1,0,دریاچه شهدای خلیج فارس,40869000.0,22.0
28684,28684,1384,2,62,1,1,1,0,پونک,64516000.0,3.0
28685,28685,1400,2,90,1,1,1,0,دروس,111000000.0,4.0
28686,28686,1385,2,80,1,1,1,0,سوهانک,100000000.0,5.0
28687,28687,1392,1,60,1,1,1,0,جردن,100000000.0,1.0
28688,28688,1398,3,165,1,1,1,0,زعفرانیه,187878000.0,1.0
28689,28689,1390,3,190,1,1,1,0,قیطریه,88947000.0,3.0
28690,28690,1397,1,75,1,0,0,0,لویزان,57333000.0,2.0
28691,28691,1385,2,101,1,1,1,0,زعفرانیه,163366000.0,7.0
28692,28692,1401,3,137,1,1,1,0,دانشگاه علم و صنعت,62000000.0,6.0
28693,28693,1385,3,200,1,1,1,0,سعادت‌آباد,108350000.0,5.0
28694,28694,1400,2,82,1,1,1,0,جمهوری,54878000.0,3.0
28695,28695,1382,2,55,0,0,0,0,ستارخان,69090000.0,2.0
28696,28696,1384,2,130,1,1,0,0,شهر زیبا,48846000.0,2.0
28697,28697,1401,3,285,1,1,1,0,آجودانیه,170000000.0,3.0
28698,28698,1396,2,101,1,1,0,0,جیحون,41584000.0,2.0
28699,28699,1384,3,140,1,1,1,0,دزاشیب,78571000.0,3.0
28700,28700,1382,1,68,0,1,1,0,شهر زیبا,44117000.0,2.0
28701,28701,1382,3,115,0,1,1,0,شهر زیبا,55217000.0,1.0
28702,28702,1401,2,105,1,1,1,0,چیتگر,57619000.0,7.0
28703,28703,1393,3,161,1,1,1,0,قیطریه,90062000.0,2.0
28704,28704,1380,1,46,0,0,1,0,بریانک,31956000.0,0.0
28705,28705,1401,2,116,1,1,1,0,زیبادشت,68965000.0,2.0
28706,28706,1390,4,330,1,1,1,0,زعفرانیه,163636000.0,4.0
28707,28707,1395,2,75,1,1,1,0,سازمان برنامه,78666000.0,2.0
28708,28708,1401,3,130,1,1,1,0,تهرانپارس غربی,70000000.0,2.0
28709,28709,1401,2,92,1,1,1,0,جنت‌آباد مرکزی,90000000.0,1.0
28710,28710,1400,2,84,1,1,1,0,جنت‌آباد مرکزی,85000000.0,7.0
28711,28711,1395,3,137,1,1,1,0,سعادت‌آباد,120072000.0,1.0
28712,28712,1390,2,110,0,1,1,0,شهرک راه‌آهن,54545000.0,3.0
28713,28713,1400,3,136,1,1,1,0,امامت، خیابان خاقانی (ب. باقری),58676000.0,4.0
28714,28714,1400,3,125,1,1,1,0,جنت‌آباد مرکزی,78400000.0,3.0
28715,28715,1397,3,125,1,1,1,0,هروی,81600000.0,1.0
28716,28716,1401,3,127,1,1,1,0,شهرک نفت (منطقه ۱),106299000.0,3.0
28717,28717,1400,2,126,1,1,0,0,نیرو هوایی,59920000.0,2.0
28718,28718,1385,3,140,1,1,1,0,شهرک غرب,98571000.0,2.0
28719,28719,1401,2,110,1,1,1,0,سهروردی,85000000.0,3.0
28720,28720,1398,2,125,1,1,1,0,هروی,75000000.0,5.0
28721,28721,1398,2,60,1,1,1,0,اندیشه (شهر زیبا),20000000.0,2.0
28722,28722,1385,3,144,1,1,1,0,پونک,65972000.0,3.0
