,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
12873,۱۳۸۴,۲,۱۱۰,1,1,1,0,تهرانپارس غربی,۵۷٬۷۲۷٬۰۰۰ ,۳
12874,۱۴۰۱,۳,۲۱۰,1,1,1,0,الهیه,۱۷۱٬۴۲۸٬۰۰۰ ,۴
12875,۱۳۸۵,۳,۱۷۵,1,1,1,0,زعفرانیه، خیابان آصف (خ. حسینی),۱۴۲٬۸۵۷٬۰۰۰ ,۵
12876,۱۳۹۴,۲,۷۰,1,1,1,0,نظام‌آباد,۴۷٬۵۰۰٬۰۰۰ ,۳
12877,۱۴۰۱,۲,۱۳۴,1,1,1,0,الهیه,۱۴۹٬۲۵۳٬۰۰۰ ,۲
12878,۱۳۹۸,۳,۱۰۶,1,1,1,0,ازگل,۱۰۰٬۰۰۰٬۰۰۰ ,۱
12879,۱۴۰۱,۲,۱۱۲,1,1,1,0,عباس‌آباد، کوچه اندیشه یکم (خ. دکتر شریعتی),۹۸٬۲۱۴٬۰۰۰ ,۱
12880,۱۳۹۵,۳,۱۶۳,1,1,1,0,نیلوفر، خیابان خرمشهر (آپادانا) (خیابان سهروردی شمالی),۹۲٬۰۲۴٬۰۰۰ ,۴
12881,۱۴۰۱,۴,۲۹۵,1,1,1,0,دروس,۱۸۶٬۴۴۰٬۰۰۰ ,۵
12882,۱۳۹۳,۲,۵۲,1,1,1,0,اندیشه (شهر زیبا),۲۱٬۵۳۸٬۰۰۰ ,۲
12883,۱۴۰۱,۳,۱۲۵,1,1,1,0,شادمهر,۶۲٬۰۰۰٬۰۰۰ ,۱
12884,۱۴۰۰,۲,۱۰۰,1,1,1,0,صادقیه,۷۳٬۰۰۰٬۰۰۰ ,۲
12885,۱۳۸۲,۲,۶۳,0,0,1,0,جنت‌آباد جنوبی,۵۷٬۴۶۰٬۰۰۰ ,۳
12886,۱۴۰۱,۱,۶۲,1,0,1,0,جی,۳۷٬۵۸۰٬۰۰۰ ,۱
12887,۱۳۹۶,۳,۱۲۵,1,1,1,0,شهرک غرب,۱۱۶٬۰۰۰٬۰۰۰ ,۲
12888,۱۳۸۶,۳,۲۰۳,1,1,1,0,الهیه,۱۱۵٬۰۰۰٬۰۰۰ ,۲
12889,۱۳۹۷,۱,۸۷,1,0,1,0,فلاح,۲۶٬۴۳۶٬۰۰۰ ,۱
12890,۱۴۰۱,۲,۹۰,1,1,0,0,پیروزی,۵۲٬۵۷۷٬۰۰۰ ,۴
12891,۱۳۹۸,۳,۱۵۰,1,1,1,0,سازمان برنامه,۶۶٬۰۰۰٬۰۰۰ ,۴
12892,۱۳۹۸,۲,۹۲,1,1,1,0,توحید، میدان توحید (خیابان توحید),۷۰٬۶۵۲٬۰۰۰ ,۴
12893,۱۴۰۱,۳,۱۷۵,1,1,1,0,پاتریس لومومبا,۷۰٬۲۸۵٬۰۰۰ ,۱
